time,pdu_id,upf_id,cpu_allocated,observed_latency,required_cpu,required_max_latency,status,event
48.67,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
48.67,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
50.05,37,3.0,54.630977011494245,0.87,,0.87,SATISFIED,TERMINATE
50.05,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
50.05,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
50.05,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
50.05,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
50.05,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
50.09,53,4.0,0.0,inf,45.717154761904766,0.84,UNSATISFIED,START
50.27,43,4.0,0.0,inf,,0.64,UNSATISFIED,TERMINATE
50.27,9,4.0,50.995159722222226,0.72,50.995159722222226,0.72,SATISFIED,REBALANCE
50.27,14,4.0,61.48045422535211,0.71,61.48045422535211,0.71,SATISFIED,REBALANCE
50.27,42,4.0,42.813435294117646,0.85,42.813435294117646,0.85,SATISFIED,REBALANCE
50.27,44,4.0,65.17251020408163,0.49,65.17251020408163,0.49,SATISFIED,REBALANCE
50.27,45,4.0,42.432900000000004,0.6999999999999998,42.432900000000004,0.7,SATISFIED,REBALANCE
50.27,46,4.0,45.740575,0.8,45.740575,0.8,SATISFIED,REBALANCE
50.27,47,4.0,37.59311666666667,0.8999999999999999,37.59311666666667,0.9,SATISFIED,REBALANCE
50.27,48,4.0,46.036514534883715,0.86,46.036514534883715,0.86,SATISFIED,REBALANCE
50.27,51,4.0,90.28230454545454,0.55,90.28230454545454,0.55,SATISFIED,REBALANCE
50.27,52,4.0,49.945932352941185,0.85,49.945932352941185,0.85,SATISFIED,REBALANCE
50.27,53,4.0,45.717154761904766,0.84,45.717154761904766,0.84,SATISFIED,REBALANCE
52.01,52,4.0,49.945932352941185,0.85,,0.85,SATISFIED,TERMINATE
52.01,9,4.0,50.995159722222226,0.72,50.995159722222226,0.72,SATISFIED,REBALANCE
52.01,14,4.0,61.48045422535211,0.71,61.48045422535211,0.71,SATISFIED,REBALANCE
52.01,42,4.0,42.813435294117646,0.85,42.813435294117646,0.85,SATISFIED,REBALANCE
52.01,44,4.0,65.17251020408163,0.49,65.17251020408163,0.49,SATISFIED,REBALANCE
52.01,45,4.0,42.432900000000004,0.6999999999999998,42.432900000000004,0.7,SATISFIED,REBALANCE
52.01,46,4.0,45.740575,0.8,45.740575,0.8,SATISFIED,REBALANCE
52.01,47,4.0,37.59311666666667,0.8999999999999999,37.59311666666667,0.9,SATISFIED,REBALANCE
52.01,48,4.0,46.036514534883715,0.86,46.036514534883715,0.86,SATISFIED,REBALANCE
52.01,51,4.0,90.28230454545454,0.55,90.28230454545454,0.55,SATISFIED,REBALANCE
52.01,53,4.0,45.717154761904766,0.84,45.717154761904766,0.84,SATISFIED,REBALANCE
52.33,17,3.0,52.87963846153846,0.65,,0.65,SATISFIED,TERMINATE
52.33,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
52.33,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
52.33,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
52.33,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
52.34,54,2.0,0.0,inf,35.58498913043478,0.92,UNSATISFIED,START
53.25,55,2.0,0.0,inf,63.86602112676057,0.71,UNSATISFIED,START
53.65,2,1.0,56.959836538461545,0.78,,0.78,SATISFIED,TERMINATE
53.65,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
53.65,49,1.0,29.937072222222227,0.9,29.937072222222227,0.9,SATISFIED,REBALANCE
53.65,50,1.0,83.6607966101695,0.59,83.6607966101695,0.59,SATISFIED,REBALANCE
53.76,46,4.0,45.740575,0.8,,0.8,SATISFIED,TERMINATE
